text,label_numeric,label,cleaned_text,tokens
BASUOE BA QOSUOE KA PELAELO EA HO BOLAEA MOSHEMANE LEBOLLONG,-1,negative,basuoe ba qosuoe ka pelaelo ea ho bolaea moshemane lebollong,"['basuoe', 'ba', 'qosuoe', 'ka', 'pelaelo', 'ea', 'ho', 'bolaea', 'moshemane', 'lebollong']"
TSEBA MARENA A SEHLOOHO A NAHA,0,neutral,tseba marena a sehlooho a naha,"['tseba', 'marena', 'a', 'sehlooho', 'a', 'naha']"
LINTLHA-KHOLO MABAPI LE NTLO E OETSENG BATHO,-1,negative,lintlhakholo mabapi le ntlo e oetseng batho,"['lintlhakholo', 'mabapi', 'le', 'ntlo', 'e', 'oetseng', 'batho']"
MOTHO O KHAOTSOE BOTONA LE MENOANA A NTSE A PHELA,-1,negative,motho o khaotsoe botona le menoana a ntse a phela,"['motho', 'o', 'khaotsoe', 'botona', 'le', 'menoana', 'a', 'ntse', 'a', 'phela']"
LITABA TSE BOHLOKO HO MAQHEKU LE MAQHEKOANA NAKONG ENA EA KERESEMESE,-1,negative,litaba tse bohloko ho maqheku le maqhekoana nakong ena ea keresemese,"['litaba', 'tse', 'bohloko', 'ho', 'maqheku', 'le', 'maqhekoana', 'nakong', 'ena', 'ea', 'keresemese']"
TONAKHOLO O LOKELA HO BUSA LILEMO TSE HLANO,1,positive,tonakholo o lokela ho busa lilemo tse hlano,"['tonakholo', 'o', 'lokela', 'ho', 'busa', 'lilemo', 'tse', 'hlano']"
MAPARAMENTE A TLO QOBELLA BAAHI HO KHAOLA LETLALO LA BOTONA,-1,negative,maparamente a tlo qobella baahi ho khaola letlalo la botona,"['maparamente', 'a', 'tlo', 'qobella', 'baahi', 'ho', 'khaola', 'letlalo', 'la', 'botona']"
SEBINI SEA HOLA KAJENO,1,positive,sebini sea hola kajeno,"['sebini', 'sea', 'hola', 'kajeno']"
MEKHA EA POLOTIKI E TSOA KA LEHE KAJENO,-1,negative,mekha ea polotiki e tsoa ka lehe kajeno,"['mekha', 'ea', 'polotiki', 'e', 'tsoa', 'ka', 'lehe', 'kajeno']"
HOSANE HO LEBELETSOE LIKHOHOLA TSE MATLA,-1,negative,hosane ho lebeletsoe likhohola tse matla,"['hosane', 'ho', 'lebeletsoe', 'likhohola', 'tse', 'matla']"
TONAKHOLO O ROKA NAHA MACHABENG,1,positive,tonakholo o roka naha machabeng,"['tonakholo', 'o', 'roka', 'naha', 'machabeng']"
LETONA LE THEOLETSE TSE LING TSA LITŠEBELETSO SECHABENG,1,positive,letona le theoletse tse ling tsa litebeletso sechabeng,"['letona', 'le', 'theoletse', 'tse', 'ling', 'tsa', 'litebeletso', 'sechabeng']"
BOROKHO BO KHAOHILE HAPE TSEBISO E POTLAKILENG,-1,negative,borokho bo khaohile hape tsebiso e potlakileng,"['borokho', 'bo', 'khaohile', 'hape', 'tsebiso', 'e', 'potlakileng']"
'MUSO O TLO FA LESOLE LE LENG LE LENG M100 000,1,positive,muso o tlo fa lesole le leng le leng m,"['muso', 'o', 'tlo', 'fa', 'lesole', 'le', 'leng', 'le', 'leng', 'm']"
PHATLALATSO EA SESOLE,0,neutral,phatlalatso ea sesole,"['phatlalatso', 'ea', 'sesole']"
HO BONOA SETOPO LETAMONG,-1,negative,ho bonoa setopo letamong,"['ho', 'bonoa', 'setopo', 'letamong']"
MOPARAMENTE O AMEHA BOSHOLUNG BA LIPHOOFOLO,-1,negative,moparamente o ameha bosholung ba liphoofolo,"['moparamente', 'o', 'ameha', 'bosholung', 'ba', 'liphoofolo']"
