sentence,Final_Label,predict_name,cleaned_sentence,tokens
@user lol o dramatic stocko se teng mo lwena mos ,positive,Setswana,lol o dramatic stocko se teng mo lwena mos,"['lol', 'o', 'dramatic', 'stocko', 'se', 'teng', 'mo', 'lwena', 'mos']"
@user i m happy with my current piece job ausi ,positive,Setswana,i m happy with my current piece job ausi,"['i', 'm', 'happy', 'with', 'my', 'current', 'piece', 'job', 'ausi']"
 o ntate wane a tlang le mane o dieta tsa hae some people don t grow ,positive,Setswana,o ntate wane a tlang le mane o dieta tsa hae some people don t grow,"['o', 'ntate', 'wane', 'a', 'tlang', 'le', 'mane', 'o', 'dieta', 'tsa', 'hae', 'some', 'people', 'don', 't', 'grow']"
ka dikuku my love ,positive,Setswana,ka dikuku my love,"['ka', 'dikuku', 'my', 'love']"
@user yeah i doubt much will be done ka kgang ya teng,negative,Setswana,yeah i doubt much will be done ka kgang ya teng,"['yeah', 'i', 'doubt', 'much', 'will', 'be', 'done', 'ka', 'kgang', 'ya', 'teng']"
@user le ja sentle golo koo kwano 2 tigers ke stoki ,negative,Setswana,le ja sentle golo koo kwano tigers ke stoki,"['le', 'ja', 'sentle', 'golo', 'koo', 'kwano', 'tigers', 'ke', 'stoki']"
@user mogolo ,neutral,Setswana,mogolo,['mogolo']
@user go bata phuthego ya kgotla o fiwe dipudi re te re bese re nwe ,positive,Setswana,go bata phuthego ya kgotla o fiwe dipudi re te re bese re nwe,"['go', 'bata', 'phuthego', 'ya', 'kgotla', 'o', 'fiwe', 'dipudi', 're', 'te', 're', 'bese', 're', 'nwe']"
@user @user happy womens day sivukile bo kwelakithi e nkandla kwa ngono bese ngithi happy anniversary day ku sindi mangubane ntuli e jokweni @user,negative,Setswana,happy womens day sivukile bo kwelakithi e nkandla kwa ngono bese ngithi happy anniversary day ku sindi mangubane ntuli e jokweni,"['happy', 'womens', 'day', 'sivukile', 'bo', 'kwelakithi', 'e', 'nkandla', 'kwa', 'ngono', 'bese', 'ngithi', 'happy', 'anniversary', 'day', 'ku', 'sindi', 'mangubane', 'ntuli', 'e', 'jokweni']"
@user ne ke lwala jaanong ke a bata ,negative,Setswana,ne ke lwala jaanong ke a bata,"['ne', 'ke', 'lwala', 'jaanong', 'ke', 'a', 'bata']"
@user i m being serious wena wa tshega ,negative,Setswana,i m being serious wena wa tshega,"['i', 'm', 'being', 'serious', 'wena', 'wa', 'tshega']"
@user @user @user @user yey abasakwaz nok fihla ,positive,Setswana,yey abasakwaz nok fihla,"['yey', 'abasakwaz', 'nok', 'fihla']"
@user chomi ska tshega tuu ,negative,Setswana,chomi ska tshega tuu,"['chomi', 'ska', 'tshega', 'tuu']"
@user bese soyodunusela lomunye ,neutral,Setswana,bese soyodunusela lomunye,"['bese', 'soyodunusela', 'lomunye']"
mogolo ne a lapile ,negative,Setswana,mogolo ne a lapile,"['mogolo', 'ne', 'a', 'lapile']"
@user @user @user @user eh baba why would you even care if you gonna get a new one two days later niqqas with money don t want any loyalty bafuna ukuchama bese bachoma ngemoney yobugebengu,positive,Setswana,eh baba why would you even care if you gonna get a new one two days later niqqas with money don t want any loyalty bafuna ukuchama bese bachoma ngemoney yobugebengu,"['eh', 'baba', 'why', 'would', 'you', 'even', 'care', 'if', 'you', 'gon', 'na', 'get', 'a', 'new', 'one', 'two', 'days', 'later', 'niqqas', 'with', 'money', 'don', 't', 'want', 'any', 'loyalty', 'bafuna', 'ukuchama', 'bese', 'bachoma', 'ngemoney', 'yobugebengu']"
the latter akere a lil cheating never killed anyone kana jang ,negative,Setswana,the latter akere a lil cheating never killed anyone kana jang,"['the', 'latter', 'akere', 'a', 'lil', 'cheating', 'never', 'killed', 'anyone', 'kana', 'jang']"
@user gatwe cheating mare thata yana bathong ,negative,Setswana,gatwe cheating mare thata yana bathong,"['gatwe', 'cheating', 'mare', 'thata', 'yana', 'bathong']"
@user thata maan you are doing a great job ,positive,Setswana,thata maan you are doing a great job,"['thata', 'maan', 'you', 'are', 'doing', 'a', 'great', 'job']"
chelete ke kopa chelete modimo ntate ,negative,Setswana,chelete ke kopa chelete modimo ntate,"['chelete', 'ke', 'kopa', 'chelete', 'modimo', 'ntate']"
@user he e ga ke modimo tshwanetse o bue gore o lo robala,negative,Setswana,he e ga ke modimo tshwanetse o bue gore o lo robala,"['he', 'e', 'ga', 'ke', 'modimo', 'tshwanetse', 'o', 'bue', 'gore', 'o', 'lo', 'robala']"
@user hehe akere kabo re sa timela jaana,neutral,Setswana,hehe akere kabo re sa timela jaana,"['hehe', 'akere', 'kabo', 're', 'sa', 'timela', 'jaana']"
 hold on father ele nna ke tlogela go rapela ke araba phone call ya baby,negative,Setswana,hold on father ele nna ke tlogela go rapela ke araba phone call ya baby,"['hold', 'on', 'father', 'ele', 'nna', 'ke', 'tlogela', 'go', 'rapela', 'ke', 'araba', 'phone', 'call', 'ya', 'baby']"
atseba ho ntse ho ena le batho bacha ba ikanang ka lcd le ntate metsing ke ea ipotsa na dc le mokhothu ba reng ha ele moo eale a neng a ile a ba kalima menoana ka 217 a khutlile a tlo caigner 2022 ke selemo sa mehlolo ka hara lesotho,negative,Setswana,atseba ho ntse ho ena le batho bacha ba ikanang ka lcd le ntate metsing ke ea ipotsa na dc le mokhothu ba reng ha ele moo eale a neng a ile a ba kalima menoana ka a khutlile a tlo caigner ke selemo sa mehlolo ka hara lesotho,"['atseba', 'ho', 'ntse', 'ho', 'ena', 'le', 'batho', 'bacha', 'ba', 'ikanang', 'ka', 'lcd', 'le', 'ntate', 'metsing', 'ke', 'ea', 'ipotsa', 'na', 'dc', 'le', 'mokhothu', 'ba', 'reng', 'ha', 'ele', 'moo', 'eale', 'a', 'neng', 'a', 'ile', 'a', 'ba', 'kalima', 'menoana', 'ka', 'a', 'khutlile', 'a', 'tlo', 'caigner', 'ke', 'selemo', 'sa', 'mehlolo', 'ka', 'hara', 'lesotho']"
@user a bo re ja eng ne wena ke batla lone le 74 le le ka dirang jaana nka nona ,positive,Setswana,a bo re ja eng ne wena ke batla lone le le le ka dirang jaana nka nona,"['a', 'bo', 're', 'ja', 'eng', 'ne', 'wena', 'ke', 'batla', 'lone', 'le', 'le', 'le', 'ka', 'dirang', 'jaana', 'nka', 'nona']"
@user simolla kamoso,neutral,Setswana,simolla kamoso,"['simolla', 'kamoso']"
like aowa re utlwile guys ,neutral,Setswana,like aowa re utlwile guys,"['like', 'aowa', 're', 'utlwile', 'guys']"
@user interview e ntle e ahang ausi re tlohelle ho sebedisa social media for monate more especially youth employment ele so high ke utlwile hothwe etlo ntsha diposo tsa data capture @user,negative,Setswana,interview e ntle e ahang ausi re tlohelle ho sebedisa social media for monate more especially youth employment ele so high ke utlwile hothwe etlo ntsha diposo tsa data capture,"['interview', 'e', 'ntle', 'e', 'ahang', 'ausi', 're', 'tlohelle', 'ho', 'sebedisa', 'social', 'media', 'for', 'monate', 'more', 'especially', 'youth', 'employment', 'ele', 'so', 'high', 'ke', 'utlwile', 'hothwe', 'etlo', 'ntsha', 'diposo', 'tsa', 'data', 'capture']"
@user o ikutwa jang ,positive,Setswana,o ikutwa jang,"['o', 'ikutwa', 'jang']"
@user you find ba baka basadi offering and platform nothing else ,negative,Setswana,you find ba baka basadi offering and platform nothing else,"['you', 'find', 'ba', 'baka', 'basadi', 'offering', 'and', 'platform', 'nothing', 'else']"
@user @user @user se re sisimose tog re fetsa go ja sentle rona tuu ,negative,Setswana,se re sisimose tog re fetsa go ja sentle rona tuu,"['se', 're', 'sisimose', 'tog', 're', 'fetsa', 'go', 'ja', 'sentle', 'rona', 'tuu']"
@user jemie areng jaanong ware o bata go nna lawn rra ,neutral,Setswana,jemie areng jaanong ware o bata go nna lawn rra,"['jemie', 'areng', 'jaanong', 'ware', 'o', 'bata', 'go', 'nna', 'lawn', 'rra']"
@user bese ngishaya ibom ngathi i don t know you ain t no way im gonna be jumping and screaming ha,negative,Setswana,bese ngishaya ibom ngathi i don t know you ain t no way im gonna be jumping and screaming ha,"['bese', 'ngishaya', 'ibom', 'ngathi', 'i', 'don', 't', 'know', 'you', 'ain', 't', 'no', 'way', 'im', 'gon', 'na', 'be', 'jumping', 'and', 'screaming', 'ha']"
@user oseka thulamela thata as @user says oka ithela bao dirisitse mogo wena lenna mme ke thoka sengwe ,negative,Setswana,oseka thulamela thata as says oka ithela bao dirisitse mogo wena lenna mme ke thoka sengwe,"['oseka', 'thulamela', 'thata', 'as', 'says', 'oka', 'ithela', 'bao', 'dirisitse', 'mogo', 'wena', 'lenna', 'mme', 'ke', 'thoka', 'sengwe']"
@user ne ke mo raa kere a ska nyatsa short courses tsa safety di kgona go nna advantage thata,negative,Setswana,ne ke mo raa kere a ska nyatsa short courses tsa safety di kgona go nna advantage thata,"['ne', 'ke', 'mo', 'raa', 'kere', 'a', 'ska', 'nyatsa', 'short', 'courses', 'tsa', 'safety', 'di', 'kgona', 'go', 'nna', 'advantage', 'thata']"
@user thata mothowame ,neutral,Setswana,thata mothowame,"['thata', 'mothowame']"
@user thata and such a liar also and loud ,negative,Setswana,thata and such a liar also and loud,"['thata', 'and', 'such', 'a', 'liar', 'also', 'and', 'loud']"
@user @user can we have those videos ntate,neutral,Setswana,can we have those videos ntate,"['can', 'we', 'have', 'those', 'videos', 'ntate']"
o botoka nna he ghosted me bro ,negative,Setswana,o botoka nna he ghosted me bro,"['o', 'botoka', 'nna', 'he', 'ghosted', 'me', 'bro']"
@user @user @user @user nah why o tshega aish wena kao ,positive,Setswana,nah why o tshega aish wena kao,"['nah', 'why', 'o', 'tshega', 'aish', 'wena', 'kao']"
@user tsamaiso ya sehlopha ke yona e fokolang batshietsi ba teng empa tsamaiso haeoyo ke seo se entseng free state stars e fokole,negative,Setswana,tsamaiso ya sehlopha ke yona e fokolang batshietsi ba teng empa tsamaiso haeoyo ke seo se entseng free state stars e fokole,"['tsamaiso', 'ya', 'sehlopha', 'ke', 'yona', 'e', 'fokolang', 'batshietsi', 'ba', 'teng', 'empa', 'tsamaiso', 'haeoyo', 'ke', 'seo', 'se', 'entseng', 'free', 'state', 'stars', 'e', 'fokole']"
@user thata gore,neutral,Setswana,thata gore,"['thata', 'gore']"
@user thata babe ,neutral,Setswana,thata babe,"['thata', 'babe']"
@user @user jaanong man u e tsenyetswa eng neh bathong ,negative,Setswana,jaanong man u e tsenyetswa eng neh bathong,"['jaanong', 'man', 'u', 'e', 'tsenyetswa', 'eng', 'neh', 'bathong']"
@user ke tshwana le wena kat,neutral,Setswana,ke tshwana le wena kat,"['ke', 'tshwana', 'le', 'wena', 'kat']"
@user heban wang tshega ,negative,Setswana,heban wang tshega,"['heban', 'wang', 'tshega']"
same even going to ask for uniform ke ntate wa thapelo from now on ,negative,Setswana,same even going to ask for uniform ke ntate wa thapelo from now on,"['same', 'even', 'going', 'to', 'ask', 'for', 'uniform', 'ke', 'ntate', 'wa', 'thapelo', 'from', 'now', 'on']"
@user ra tshwana i have been starting since i gave birth 2 years ago ,positive,Setswana,ra tshwana i have been starting since i gave birth years ago,"['ra', 'tshwana', 'i', 'have', 'been', 'starting', 'since', 'i', 'gave', 'birth', 'years', 'ago']"
@user @user kana kgang,neutral,Setswana,kana kgang,"['kana', 'kgang']"
