tweet,label,sentiment,cleaned_text,tokens,sentence_length
"@user Loku u navela Ku tissunga, tissungue🕳️",negative,Negative,loku u navela ku tissunga tissungue🕳️,"['loku', 'u', 'navela', 'ku', 'tissunga', 'tissungue🕳️']",6
Aha... Auxeni ti nguavani,negative,Negative,aha auxeni ti nguavani,"['aha', 'auxeni', 'ti', 'nguavani']",4
"Hahahahaha ih, tipo arrombaram o nhoster, 😂😂👏 https://t.co/OTTuJlkK3l",negative,Negative,hahahahaha ih tipo arrombaram o nhoster 😂😂👏,"['hahahahaha', 'ih', 'tipo', 'arrombaram', 'o', 'nhoster', '😂😂👏']",7
Hiiiii ni livrarih !!,negative,Negative,hiiiii ni livrarih,"['hiiiii', 'ni', 'livrarih']",3
@user 😱 oh hosi yanga 🙆,negative,Negative,😱 oh hosi yanga 🙆,"['😱', 'oh', 'hosi', 'yanga', '🙆']",5
@user Eeeeh a nsati lwei a banana maj...,negative,Negative,eeeeh a nsati lwei a banana maj,"['eeeeh', 'a', 'nsati', 'lwei', 'a', 'banana', 'maj']",7
Mu nga ni landzi... Na loya,negative,Negative,mu nga ni landzi na loya,"['mu', 'nga', 'ni', 'landzi', 'na', 'loya']",6
@user A ta ti nhela😂,negative,Negative,a ta ti nhela😂,"['a', 'ta', 'ti', 'nhela😂']",4
Wa ni Danissa 🙄 https://t.co/1pXjbA0QSI,negative,Negative,wa ni danissa 🙄,"['wa', 'ni', 'danissa', '🙄']",4
U gama u Kuma 2 valores https://t.co/TfQYeTa4kI,negative,Negative,u gama u kuma 2 valores,"['u', 'gama', 'u', 'kuma', '2', 'valores']",6
Ihhhhhhhhhhh... A chirami ka lomuu!!!!,negative,Negative,ihhhhhhhhhhh a chirami ka lomuu,"['ihhhhhhhhhhh', 'a', 'chirami', 'ka', 'lomuu']",5
@user então ungah ni trapalhari wena pah...,negative,Negative,então ungah ni trapalhari wena pah,"['então', 'ungah', 'ni', 'trapalhari', 'wena', 'pah']",6
Hahahah swa nsila só 😂😂😂😂 https://t.co/NILtGhy1pu,negative,Negative,hahahah swa nsila só 😂😂😂😂,"['hahahah', 'swa', 'nsila', 'só', '😂😂😂😂']",5
Famba ni ma Range ya wena 😂😂😂😂,negative,Negative,famba ni ma range ya wena 😂😂😂😂,"['famba', 'ni', 'ma', 'range', 'ya', 'wena', '😂😂😂😂']",7
A xilungu xakarata. 🤦🏾,negative,Negative,a xilungu xakarata 🤦🏾,"['a', 'xilungu', 'xakarata', '🤦🏾']",4
@user Famba ti gumula hi parede,negative,Negative,famba ti gumula hi parede,"['famba', 'ti', 'gumula', 'hi', 'parede']",5
"U bihile demais, lokhu ulangunta hansi a xikwembo swo kubha I mazwidji. 🤣🤣🤣",negative,Negative,u bihile demais lokhu ulangunta hansi a xikwembo swo kubha i mazwidji 🤣🤣🤣,"['u', 'bihile', 'demais', 'lokhu', 'ulangunta', 'hansi', 'a', 'xikwembo', 'swo', 'kubha', 'i', 'mazwidji', '🤣🤣🤣']",13
Yuh... Mamã... A ni ku lavi mina🕺🏿,negative,Negative,yuh mamã a ni ku lavi mina🕺🏿,"['yuh', 'mamã', 'a', 'ni', 'ku', 'lavi', 'mina🕺🏿']",7
I tinholuene a xwi Dari https://t.co/hAYe2sMVrB,negative,Negative,i tinholuene a xwi dari,"['i', 'tinholuene', 'a', 'xwi', 'dari']",5
@user Wa hlanha lweyi😂😂,negative,Negative,wa hlanha lweyi😂😂,"['wa', 'hlanha', 'lweyi😂😂']",3
@user KI está a criar um Vuku Vuku grande sabe,negative,Negative,ki está a criar um vuku vuku grande sabe,"['ki', 'está', 'a', 'criar', 'um', 'vuku', 'vuku', 'grande', 'sabe']",9
Messi Wa Nhine 😂,negative,Negative,messi wa nhine 😂,"['messi', 'wa', 'nhine', '😂']",4
@user 🙆 hosi yanga 😹😹😹,negative,Negative,🙆 hosi yanga 😹😹😹,"['🙆', 'hosi', 'yanga', '😹😹😹']",4
@user Uta ni dhlaya,negative,Negative,uta ni dhlaya,"['uta', 'ni', 'dhlaya']",3
Xitomb* xa wuako https://t.co/r5w8GnhRYw,negative,Negative,xitomb xa wuako,"['xitomb', 'xa', 'wuako']",3
"Ih ni livrari, yu. https://t.co/BRPTViLFJc",negative,Negative,ih ni livrari yu,"['ih', 'ni', 'livrari', 'yu']",4
Ho hi danissa wena wananga https://t.co/zWhrWVFQ4i,negative,Negative,ho hi danissa wena wananga,"['ho', 'hi', 'danissa', 'wena', 'wananga']",5
@user Wuaa😅 swa ma SUPERA PATRICK ani tendere😅,negative,Negative,wuaa😅 swa ma supera patrick ani tendere😅,"['wuaa😅', 'swa', 'ma', 'supera', 'patrick', 'ani', 'tendere😅']",7
Hi tafa hi ndlala,negative,Negative,hi tafa hi ndlala,"['hi', 'tafa', 'hi', 'ndlala']",4
